TaskID,Input1,Output1_1
20,4,57.0
20,5,54.0
20,6,126.0
20,7,136.0
20,8,182.0
20,9,198.0
21,0,91.0
21,2,71.0
21,3,66.0
21,4,58.0
21,5,115.0
21,6,144.0
21,7,145.0
22,0,99.0
22,2,89.0
22,3,86.0
22,4,82.0
22,5,78.0
22,6,74.0
22,7,70.0
22,8,65.0
22,9,61.0
23,0,95.0
23,2,92.0
23,3,90.0
23,4,87.0
23,5,84.0
23,6,80.0
23,7,68.0
23,8,65.0
23,9,61.0
24,0,91.0
24,2,45.0
24,3,42.0
24,4,38.0
24,5,35.0
24,6,32.0
24,7,29.0
24,8,84.0
24,9,120.0
24,10,141.0
24,11,164.0
25,0,107.0
25,2,105.0
25,3,98.0
25,4,185.0
25,5,198.0
25,7,48.0
25,9,38.0
25,11,30.0
25,13,21.0
26,0,93.0
26,2,125.0
26,3,88.0
26,4,87.0
26,5,108.0
26,6,66.0
26,7,59.0
26,8,50.0
26,9,106.0
26,10,100.0
27,0,104.0
27,2,137.0
27,3,143.0
27,4,109.0
27,5,144.0
27,6,71.0
27,7,63.0
27,8,120.0
27,9,109.0
27,10,82.0
27,12,66.0
27,13,128.0
28,0,105.0
28,2,120.0
28,3,146.0
28,4,114.0
28,5,117.0
28,6,136.0
28,7,66.0
28,8,63.0
28,9,52.0
28,10,121.0
28,11,95.0
29,0,95.0
29,2,76.0
29,3,71.0
29,4,62.0
29,5,92.0
29,6,89.0
29,7,100.0
29,8,125.0
30,0,106.0
30,2,95.0
30,3,91.0
30,4,88.0
30,5,84.0
30,6,78.0
30,7,75.0
30,8,71.0
30,10,60.0
31,0,100.0
31,2,65.0
31,3,61.0
31,4,58.0
31,5,54.0
31,6,50.0
31,7,46.0
31,8,41.0
31,9,129.0
31,10,116.0
31,11,147.0
31,12,198.0
32,0,98.0
32,2,95.0
32,3,117.0
32,4,114.0
32,5,108.0
32,6,65.0
32,7,56.0
32,8,129.0
33,0,97.0
33,2,52.0
33,3,51.0
33,4,47.0
33,5,43.0
33,6,121.0
33,9,151.0
33,10,136.0
34,0,92.0
34,3,89.0
34,4,96.0
34,5,89.0
34,6,59.0
34,7,54.0
34,8,102.0
34,9,68.0
34,10,64.0
34,11,59.0
34,13,97.0
35,0,94.0
35,2,82.0
35,3,78.0
35,4,74.0
35,5,71.0
35,6,67.0
35,7,63.0
35,8,59.0
35,9,56.0
35,10,52.0
35,11,45.0
36,0,105.0
36,2,95.0
36,3,90.0
36,4,86.0
36,5,82.0
36,6,78.0
36,7,75.0
36,8,71.0
36,9,67.0
37,0,92.0
37,2,54.0
37,4,52.0
37,6,49.0
37,8,40.0
37,9,114.0
37,10,113.0
37,11,181.0
37,12,184.0
37,13,158.0
38,0,91.0
38,2,63.0
38,4,55.0
38,6,43.0
38,8,92.0
38,9,131.0
38,10,144.0
38,11,127.0
39,0,106.0
39,2,92.0
39,3,88.0
39,4,82.0
39,5,78.0
39,6,73.0
39,7,70.0
39,8,65.0
39,9,61.0
40,0,94.0
40,2,99.0
40,3,107.0
40,5,60.0
40,6,127.0
40,7,129.0
40,8,125.0
40,10,68.0
40,11,61.0
41,0,109.0
41,2,94.0
41,3,89.0
41,4,84.0
41,5,80.0
41,6,75.0
41,7,70.0
41,8,66.0
42,0,102.0
42,2,132.0
42,3,143.0
42,4,94.0
42,5,114.0
42,6,140.0
42,7,70.0
42,8,66.0
42,9,59.0
42,10,114.0
42,11,141.0
43,0,97.0
43,2,127.0
43,3,127.0
43,4,104.0
43,5,77.0
43,6,72.0
43,7,126.0
43,8,124.0
43,9,123.0
43,10,67.0
43,12,54.0
43,13,132.0
44,0,93.0
44,3,77.0
44,4,58.0
44,5,105.0
44,6,104.0
44,7,117.0
44,8,63.0
44,9,59.0
44,10,52.0
44,11,95.0
44,12,137.0
45,0,92.0
45,2,30.0
45,3,28.0
45,4,26.0
45,5,24.0
45,6,32.0
45,7,110.0
45,8,114.0
45,9,159.0
46,0,101.0
46,2,136.0
46,3,77.0
46,4,67.0
46,5,137.0
46,6,97.0
46,7,78.0
46,8,70.0
46,10,123.0
46,11,130.0
47,0,108.0
47,2,93.0
47,3,88.0
47,4,83.0
47,5,73.0
47,6,76.0
47,7,71.0
47,8,67.0
47,9,63.0
47,10,58.0
48,0,96.0
48,2,66.0
48,3,58.0
48,4,51.0
48,5,111.0
48,6,99.0
48,7,118.0
48,8,120.0
48,10,59.0
48,11,116.0
49,0,104.0
49,2,42.0
49,3,38.0
49,4,34.0
49,5,30.0
49,6,26.0
49,7,21.0
49,8,108.0
49,9,110.0
49,10,138.0
49,11,139.0
50,0,93.0
50,4,67.0
50,6,136.0
50,7,130.0
50,8,128.0
50,9,70.0
50,11,106.0
50,12,106.0
51,0,106.0
51,2,56.0
51,3,52.0
51,4,48.0
51,5,43.0
51,6,97.0
51,7,106.0
51,8,173.0
51,9,174.0
52,0,93.0
52,2,105.0
52,3,87.0
52,4,93.0
52,5,105.0
52,6,97.0
52,8,74.0
52,10,64.0
52,11,87.0
53,0,109.0
53,2,65.0
53,3,60.0
53,4,55.0
53,5,51.0
53,6,46.0
53,7,137.0
53,8,135.0
53,9,165.0
54,0,98.0
54,2,110.0
54,3,97.0
54,4,128.0
54,5,98.0
54,6,113.0
54,7,98.0
54,8,67.0
54,9,61.0
55,0,93.0
55,2,44.0
55,3,41.0
55,4,38.0
55,5,34.0
55,6,31.0
55,7,127.0
56,0,110.0
56,2,94.0
56,3,89.0
56,4,84.0
56,5,80.0
56,6,76.0
56,7,72.0
56,8,68.0
56,9,63.0
57,0,102.0
57,2,121.0
57,3,64.0
57,4,57.0
57,5,50.0
57,6,146.0
57,7,107.0
57,8,105.0
57,9,102.0
57,10,138.0
58,0,93.0
58,2,45.0
58,3,41.0
58,4,37.0
58,5,33.0
58,6,120.0
58,7,91.0
58,8,132.0
58,9,158.0
59,0,95.0
59,2,113.0
59,3,92.0
59,4,91.0
59,5,76.0
59,6,72.0
59,7,115.0
59,8,133.0
59,9,68.0
59,10,60.0
59,11,55.0
59,12,132.0
60,0,90.0
60,2,80.0
60,3,77.0
60,4,73.0
60,5,70.0
60,6,66.0
60,9,54.0
61,0,91.0
61,2,82.0
61,3,78.0
61,4,73.0
61,5,71.0
61,6,67.0
61,7,64.0
62,0,109.0
62,2,97.0
62,3,93.0
62,4,89.0
62,5,84.0
62,6,79.0
62,7,76.0
62,8,71.0
62,9,65.0
62,10,62.0
63,0,93.0
63,2,82.0
63,3,77.0
63,5,70.0
63,6,66.0
63,7,63.0
63,8,59.0
63,9,56.0
63,10,52.0
64,0,108.0
64,2,69.0
64,3,63.0
64,4,53.0
64,5,102.0
64,6,100.0
64,7,103.0
64,8,103.0
64,9,103.0
64,10,78.0
65,0,101.0
65,2,81.0
65,3,77.0
65,4,140.0
65,5,102.0
65,7,172.0
65,8,146.0
65,9,60.0
65,10,56.0
65,11,51.0
65,13,43.0
66,0,105.0
66,2,98.0
66,3,91.0
66,5,84.0
66,6,79.0
66,7,71.0
66,8,68.0
66,9,64.0
66,10,59.0
66,11,54.0
66,13,48.0
67,0,90.0
67,2,65.0
67,3,60.0
67,4,143.0
67,5,114.0
67,6,148.0
67,7,178.0
68,0,95.0
68,4,77.0
68,5,74.0
68,6,71.0
68,7,71.0
68,8,63.0
68,9,59.0
69,0,90.0
69,2,73.0
69,3,64.0
69,4,56.0
69,5,112.0
69,6,130.0
69,7,142.0
69,8,141.0
69,9,93.0
69,10,98.0
70,0,103.0
70,2,107.0
70,3,141.0
70,4,115.0
70,5,75.0
70,6,67.0
70,7,138.0
70,8,137.0
71,0,109.0
71,2,68.0
71,3,63.0
71,4,58.0
71,5,53.0
71,6,49.0
71,7,137.0
71,8,99.0
71,9,194.0
71,10,196.0
72,0,96.0
72,2,100.0
72,3,117.0
72,4,134.0
72,5,65.0
72,7,93.0
72,8,64.0
72,10,50.0
72,12,98.0
72,13,108.0
73,0,106.0
73,2,131.0
73,3,83.0
73,4,76.0
73,5,70.0
73,6,137.0
73,7,140.0
73,8,128.0
74,0,98.0
74,2,115.0
74,3,70.0
74,4,62.0
74,5,102.0
74,6,102.0
74,7,127.0
75,0,92.0
75,2,82.0
75,3,78.0
75,4,112.0
75,5,149.0
75,6,194.0
75,7,141.0
76,0,110.0
76,2,78.0
76,3,72.0
76,4,69.0
76,5,65.0
76,6,61.0
76,7,144.0
76,8,134.0
76,9,186.0
76,10,199.0
77,0,97.0
77,3,65.0
77,4,60.0
77,5,57.0
77,7,100.0
77,8,129.0
77,9,139.0
77,10,146.0
77,11,139.0
78,0,110.0
78,3,102.0
78,5,141.0
78,6,75.0
78,7,65.0
78,9,145.0
78,11,82.0
79,0,102.0
79,2,105.0
79,3,86.0
79,4,76.0
79,5,70.0
79,6,124.0
79,7,81.0
79,8,71.0
79,9,132.0
80,0,106.0
80,2,53.0
80,3,48.0
80,4,45.0
80,5,41.0
80,6,37.0
80,7,112.0
80,8,97.0
80,9,133.0
81,0,105.0
81,2,133.0
81,3,71.0
81,4,61.0
81,5,56.0
81,7,114.0
81,8,134.0
81,9,66.0
81,10,57.0
81,11,130.0
82,0,97.0
82,4,67.0
82,5,60.0
82,6,108.0
82,7,78.0
82,8,73.0
82,9,64.0
82,10,108.0
83,0,101.0
83,2,94.0
83,3,99.0
83,4,105.0
83,5,78.0
83,6,72.0
83,9,79.0
84,0,102.0
84,2,122.0
84,3,73.0
84,4,66.0
84,7,124.0
84,8,126.0
84,10,69.0
84,13,107.0
85,0,94.0
85,2,67.0
85,3,63.0
85,5,56.0
85,6,53.0
85,7,48.0
85,8,108.0
85,9,132.0
85,10,154.0
85,11,183.0
86,0,91.0
86,2,56.0
86,3,51.0
86,4,47.0
86,5,43.0
86,6,87.0
86,7,117.0
86,8,132.0
86,9,157.0
87,0,90.0
87,2,91.0
87,3,109.0
87,4,120.0
87,5,102.0
87,6,68.0
87,7,61.0
87,8,56.0
87,9,124.0
87,10,109.0
87,11,120.0
87,12,66.0
88,0,100.0
88,2,78.0
88,3,70.0
88,4,92.0
88,5,110.0
88,6,106.0
88,7,123.0
89,0,92.0
89,2,41.0
89,3,38.0
89,4,93.0
89,5,121.0
89,6,165.0
89,7,176.0
90,0,101.0
90,2,107.0
90,3,111.0
90,4,129.0
90,5,126.0
90,6,74.0
90,7,64.0
90,8,138.0
91,0,93.0
91,2,120.0
91,3,95.0
91,4,76.0
91,6,62.0
91,7,105.0
91,8,134.0
91,9,67.0
91,12,98.0
91,13,128.0
92,0,105.0
92,2,107.0
92,3,125.0
92,4,147.0
92,5,100.0
92,6,73.0
92,7,68.0
92,8,60.0
92,9,145.0
92,10,121.0
93,0,92.0
93,2,82.0
93,3,78.0
93,4,74.0
93,5,71.0
93,6,67.0
93,7,64.0
93,8,59.0
93,9,56.0
93,10,53.0
93,11,49.0
94,0,95.0
94,4,74.0
94,5,70.0
94,6,65.0
94,7,61.0
94,8,121.0
94,9,178.0
95,0,96.0
95,2,108.0
95,3,65.0
95,4,60.0
95,5,97.0
95,6,86.0
95,7,57.0
95,9,40.0
95,10,99.0
95,11,114.0
96,0,90.0
96,2,141.0
96,3,101.0
96,4,141.0
96,5,102.0
96,6,138.0
96,7,72.0
97,0,104.0
97,2,90.0
97,4,81.0
97,5,78.0
97,7,69.0
97,8,64.0
97,9,60.0
98,0,103.0
98,2,42.0
98,3,38.0
98,4,34.0
98,5,30.0
98,6,26.0
98,7,108.0
98,8,94.0
98,9,148.0
98,10,164.0
99,0,103.0
99,2,89.0
99,3,84.0
99,4,79.0
99,5,76.0
99,6,71.0
99,7,67.0
99,8,64.0
99,9,60.0
100,0,99.0
100,2,89.0
100,3,82.0
100,4,77.0
100,5,74.0
100,7,68.0
100,8,65.0
100,9,61.0
101,0,95.0
101,2,123.0
101,3,95.0
101,4,94.0
101,5,129.0
101,6,106.0
101,7,104.0
101,8,64.0
101,9,56.0
101,10,113.0
101,11,62.0
101,13,52.0
102,0,108.0
102,2,78.0
102,3,75.0
102,4,70.0
102,5,66.0
102,7,59.0
102,8,116.0
102,9,122.0
102,10,173.0
102,11,181.0
103,0,104.0
103,3,74.0
103,4,62.0
103,5,53.0
103,7,106.0
103,8,128.0
103,9,96.0
103,10,126.0
103,11,128.0
104,0,92.0
104,2,46.0
104,3,42.0
104,4,38.0
104,5,34.0
104,6,30.0
104,7,28.0
104,8,129.0
104,9,118.0
104,10,145.0
104,11,171.0
105,0,92.0
105,3,115.0
105,4,116.0
105,5,99.0
105,6,60.0
105,7,56.0
105,8,111.0
105,9,99.0
106,0,107.0
106,2,48.0
106,3,44.0
106,4,134.0
106,5,101.0
106,6,172.0
106,7,196.0
106,11,51.0
106,12,47.0
106,13,42.0
107,0,98.0
107,2,87.0
107,3,83.0
107,4,79.0
107,5,76.0
107,6,72.0
107,7,67.0
107,8,64.0
108,0,90.0
108,2,124.0
108,3,97.0
108,4,109.0
108,5,94.0
108,6,68.0
108,7,63.0
108,8,54.0
108,9,88.0
108,10,70.0
108,11,61.0
108,12,115.0
109,0,100.0
109,2,78.0
109,3,73.0
109,4,68.0
109,5,65.0
109,6,60.0
109,7,56.0
109,8,116.0
109,9,75.0
109,10,102.0
109,11,111.0
109,12,51.0
110,0,95.0
110,2,141.0
110,3,101.0
110,4,70.0
110,5,62.0
110,6,57.0
110,7,143.0
110,8,107.0
111,0,105.0
111,2,76.0
111,3,72.0
111,4,67.0
111,5,62.0
111,6,141.0
111,7,144.0
111,8,161.0
111,9,182.0
111,10,164.0
112,0,99.0
112,3,66.0
112,4,92.0
112,5,74.0
112,7,58.0
112,8,116.0
112,10,126.0
112,12,98.0
112,13,135.0
113,0,90.0
113,2,78.0
113,3,76.0
113,4,72.0
113,5,68.0
113,6,64.0
113,7,60.0
113,8,56.0
113,9,52.0
114,0,91.0
114,4,73.0
114,5,70.0
114,7,61.0
114,8,58.0
114,9,55.0
114,13,38.0
115,0,108.0
115,2,140.0
115,4,101.0
115,5,144.0
115,6,106.0
115,7,82.0
115,8,76.0
115,9,71.0
115,10,104.0
115,11,113.0
115,12,80.0
116,0,92.0
116,2,65.0
116,3,60.0
116,4,57.0
116,5,53.0
116,6,50.0
116,7,45.0
116,8,104.0
116,9,106.0
116,10,150.0
116,11,159.0
116,12,158.0
117,0,106.0
117,3,65.0
117,4,56.0
117,5,106.0
117,7,123.0
117,9,74.0
117,10,99.0
117,11,135.0
118,0,99.0
118,2,72.0
118,3,68.0
118,4,64.0
118,5,61.0
118,6,57.0
118,7,120.0
118,8,102.0
118,9,151.0
118,10,197.0
119,0,93.0
119,2,123.0
119,3,129.0
119,4,108.0
119,5,93.0
119,6,130.0
119,7,111.0
120,0,92.0
120,2,129.0
120,3,123.0
120,4,109.0
120,5,119.0
120,8,55.0
120,9,48.0
120,10,83.0
120,11,72.0
121,0,97.0
121,2,61.0
121,3,57.0
121,4,54.0
121,5,51.0
121,7,121.0
121,8,171.0
121,9,177.0
121,10,143.0
122,0,106.0
122,2,76.0
122,4,56.0
122,5,96.0
122,6,135.0
122,7,123.0
122,8,141.0
123,0,97.0
123,2,127.0
123,3,90.0
123,4,119.0
123,5,122.0
123,6,79.0
123,7,68.0
123,8,63.0
123,9,108.0
123,10,95.0
124,0,99.0
124,2,62.0
124,3,57.0
124,4,53.0
124,5,50.0
124,7,117.0
124,8,111.0
124,9,168.0
124,10,176.0
125,0,102.0
125,2,89.0
125,3,85.0
125,4,81.0
125,5,76.0
125,6,72.0
125,7,67.0
125,8,62.0
125,9,58.0
126,0,105.0
126,4,42.0
126,5,38.0
126,6,34.0
126,7,30.0
126,8,145.0
126,9,119.0
127,0,100.0
127,2,54.0
127,3,51.0
127,4,46.0
127,5,117.0
127,6,139.0
127,7,154.0
127,8,177.0
127,9,169.0
127,10,72.0
127,11,67.0
127,13,58.0
128,0,97.0
128,3,90.0
128,4,65.0
128,6,54.0
128,7,111.0
128,8,122.0
128,9,90.0
128,10,112.0
128,11,97.0
129,0,99.0
129,2,128.0
129,3,113.0
129,4,92.0
129,5,139.0
129,6,116.0
129,7,127.0
129,8,66.0
130,0,97.0
130,2,67.0
130,3,62.0
130,4,58.0
130,5,116.0
130,7,167.0
130,8,170.0
131,0,90.0
131,2,115.0
131,3,93.0
131,4,64.0
131,6,110.0
131,7,118.0
131,8,63.0
131,9,58.0
131,10,91.0
132,0,100.0
132,2,72.0
132,3,69.0
132,4,64.0
132,5,59.0
132,6,101.0
132,8,146.0
132,9,161.0
133,0,94.0
133,2,72.0
133,3,69.0
133,4,66.0
133,5,67.0
133,6,90.0
133,8,160.0
133,9,172.0
133,10,168.0
133,11,72.0
134,0,100.0
134,2,90.0
134,3,86.0
134,4,135.0
134,5,106.0
134,6,145.0
134,8,146.0
135,0,92.0
135,2,81.0
135,3,77.0
135,4,73.0
135,5,70.0
135,6,67.0
135,7,62.0
135,8,58.0
135,9,55.0
135,10,51.0
136,0,96.0
136,2,79.0
136,3,75.0
136,4,108.0
136,5,111.0
136,6,167.0
136,7,175.0
136,8,162.0
136,9,84.0
136,11,75.0
136,12,72.0
137,0,97.0
137,2,112.0
137,3,109.0
137,6,144.0
137,7,49.0
137,8,44.0
137,9,43.0
137,10,40.0
137,11,36.0
137,12,32.0
137,13,28.0
138,0,98.0
138,2,111.0
138,3,100.0
138,4,99.0
138,5,75.0
138,6,67.0
138,7,59.0
138,8,108.0
138,9,116.0
138,10,112.0
139,0,105.0
139,2,88.0
139,3,83.0
139,4,79.0
139,5,75.0
139,6,70.0
139,7,100.0
139,8,136.0
139,9,152.0
140,0,102.0
140,2,130.0
140,3,116.0
140,4,95.0
140,5,109.0
140,6,135.0
140,7,96.0
140,8,64.0
140,9,56.0
140,10,45.0
141,0,98.0
141,2,85.0
141,3,81.0
141,4,78.0
141,5,75.0
141,6,70.0
141,7,115.0
141,8,111.0
141,9,140.0
141,10,163.0
142,0,90.0
142,2,67.0
142,3,62.0
142,4,105.0
142,5,117.0
142,6,127.0
142,7,138.0
142,8,141.0
142,9,116.0
143,0,96.0
143,2,60.0
143,3,55.0
143,4,112.0
143,5,114.0
143,6,97.0
143,7,123.0
143,8,95.0
143,9,86.0
143,11,68.0
143,12,60.0
144,0,91.0
144,2,99.0
144,3,116.0
144,4,142.0
144,5,154.0
144,6,157.0
144,7,154.0
144,8,91.0
144,9,87.0
144,10,83.0
144,11,79.0
144,12,74.0
145,0,91.0
145,3,121.0
145,4,172.0
145,5,187.0
145,6,165.0
145,7,54.0
145,11,45.0
146,0,94.0
146,2,100.0
146,3,87.0
146,4,96.0
146,10,63.0
146,11,59.0
146,12,113.0
146,13,124.0
147,0,97.0
147,2,122.0
147,3,105.0
147,4,131.0
147,5,75.0
147,6,71.0
147,7,67.0
147,9,121.0
147,11,117.0
148,0,99.0
148,2,45.0
148,3,41.0
148,4,38.0
148,5,33.0
148,8,20.0
148,9,95.0
148,10,97.0
148,11,142.0
148,12,175.0
149,0,97.0
149,2,85.0
149,3,81.0
149,4,78.0
149,5,74.0
149,6,70.0
149,7,65.0
150,0,98.0
150,3,87.0
150,4,129.0
150,5,74.0
150,6,70.0
150,7,93.0
150,9,96.0
151,0,97.0
151,2,89.0
151,3,91.0
151,4,117.0
151,5,103.0
151,6,118.0
151,7,109.0
152,0,96.0
152,2,73.0
152,3,69.0
152,5,61.0
152,6,57.0
152,7,38.0
152,8,34.0
152,9,140.0
152,10,102.0
152,11,63.0
153,0,91.0
153,2,56.0
153,3,52.0
153,4,49.0
153,5,42.0
153,6,42.0
153,7,39.0
153,8,35.0
153,9,96.0
153,10,122.0
153,11,144.0
153,12,174.0
154,0,91.0
154,2,98.0
154,3,91.0
154,4,135.0
154,5,127.0
154,6,96.0
154,7,136.0
154,8,61.0
154,9,52.0
155,0,104.0
155,2,81.0
155,3,77.0
155,4,105.0
155,5,124.0
155,6,134.0
155,7,140.0
155,8,134.0
155,10,39.0
156,0,92.0
156,2,105.0
156,3,71.0
156,4,67.0
156,5,121.0
156,6,127.0
156,7,98.0
156,8,97.0
156,9,82.0
156,10,66.0
156,11,62.0
157,0,99.0
157,2,94.0
157,3,117.0
157,4,70.0
157,5,62.0
157,6,57.0
157,7,128.0
157,8,139.0
157,11,61.0
158,0,101.0
158,2,138.0
158,3,113.0
158,4,133.0
158,5,138.0
158,7,62.0
158,9,136.0
158,10,129.0
159,0,92.0
159,2,95.0
159,3,89.0
159,6,55.0
159,7,115.0
159,8,90.0
159,9,125.0
159,10,123.0
159,11,63.0
160,0,92.0
160,2,68.0
160,3,62.0
160,4,54.0
160,5,95.0
160,6,101.0
160,9,60.0
160,10,54.0
160,11,112.0
160,13,111.0
161,0,101.0
161,2,71.0
161,3,123.0
161,4,144.0
161,5,149.0
161,6,156.0
161,7,200.0
162,0,107.0
162,4,72.0
162,6,62.0
162,7,117.0
162,8,97.0
162,9,153.0
162,11,154.0
163,0,96.0
163,3,82.0
163,4,79.0
163,5,76.0
163,6,72.0
163,8,64.0
163,9,59.0
164,0,109.0
164,2,129.0
164,3,128.0
164,4,113.0
164,5,149.0
164,6,72.0
164,7,64.0
164,9,113.0
164,10,128.0
165,0,95.0
165,8,61.0
165,9,57.0
165,10,53.0
165,11,49.0
165,12,45.0
165,13,41.0
166,0,106.0
166,2,54.0
166,3,51.0
166,4,112.0
166,5,130.0
166,6,172.0
166,7,178.0
166,8,167.0
166,9,88.0
167,0,94.0
167,2,114.0
167,3,86.0
167,4,145.0
167,5,170.0
167,6,153.0
167,8,77.0
167,9,73.0
167,10,70.0
167,11,66.0
167,12,62.0
168,0,102.0
168,2,90.0
168,3,86.0
168,4,82.0
168,5,78.0
168,6,73.0
168,7,69.0
168,8,65.0
168,9,60.0
168,10,56.0
169,0,92.0
169,2,141.0
169,3,95.0
169,4,79.0
169,5,75.0
169,6,63.0
169,7,138.0
169,8,105.0
169,9,98.0
169,10,134.0
169,11,137.0
170,0,107.0
170,2,100.0
170,3,106.0
170,4,128.0
170,5,109.0
170,6,134.0
170,8,58.0
170,9,53.0
170,10,138.0
170,11,66.0
171,0,91.0
171,2,65.0
171,3,61.0
171,4,57.0
171,5,53.0
171,8,111.0
171,9,117.0
172,0,91.0
172,2,76.0
172,3,72.0
172,4,67.0
172,5,91.0
172,6,102.0
172,7,169.0
172,8,181.0
173,0,103.0
173,2,139.0
173,4,76.0
173,5,69.0
173,6,98.0
173,8,60.0
173,9,50.0
173,10,123.0
173,11,140.0
173,12,94.0
174,0,91.0
174,2,81.0
174,4,77.0
174,5,71.0
174,6,67.0
174,7,62.0
174,8,59.0
174,9,124.0
174,10,170.0
175,0,104.0
175,2,89.0
175,3,85.0
175,4,81.0
175,5,76.0
175,6,71.0
175,7,68.0
175,8,63.0
175,9,97.0
175,10,96.0
175,11,161.0
175,12,182.0
176,0,96.0
176,2,88.0
176,3,115.0
176,4,126.0
176,5,87.0
176,6,64.0
176,7,60.0
176,8,54.0
176,9,130.0
176,11,53.0
176,13,123.0
177,0,90.0
177,2,81.0
177,3,78.0
177,4,74.0
177,5,71.0
177,6,66.0
177,7,64.0
177,8,61.0
177,9,57.0
177,10,54.0
177,11,50.0
178,0,91.0
178,2,102.0
178,4,105.0
178,6,104.0
178,7,71.0
178,8,63.0
178,9,102.0
178,10,54.0
178,11,50.0
179,0,90.0
179,2,107.0
179,3,100.0
179,4,87.0
179,5,69.0
179,6,67.0
179,7,57.0
180,0,98.0
180,3,97.0
180,5,54.0
180,7,117.0
180,8,100.0
180,9,78.0
180,10,69.0
180,11,114.0
180,12,129.0
180,13,96.0
181,0,93.0
181,2,80.0
181,3,77.0
181,5,69.0
181,6,66.0
181,7,62.0
181,8,59.0
182,0,90.0
182,2,110.0
182,3,130.0
182,4,136.0
182,5,63.0
182,6,57.0
182,7,49.0
182,8,129.0
182,9,103.0
183,0,101.0
183,3,139.0
183,4,121.0
183,5,137.0
183,7,69.0
183,8,98.0
183,9,132.0
183,10,105.0
184,0,90.0
184,2,129.0
184,3,102.0
184,4,140.0
184,5,114.0
184,9,58.0
184,10,109.0
185,0,90.0
185,2,73.0
185,3,69.0
185,4,64.0
185,5,60.0
185,8,105.0
185,9,128.0
185,10,134.0
186,0,106.0
186,3,87.0
186,4,82.0
186,6,74.0
186,7,70.0
186,8,66.0
186,9,61.0
186,10,58.0
187,0,101.0
187,2,66.0
187,3,61.0
187,4,137.0
187,5,73.0
187,6,68.0
187,7,60.0
187,8,115.0
187,9,100.0
188,0,101.0
188,2,61.0
188,3,58.0
188,4,54.0
188,5,50.0
188,6,45.0
188,7,41.0
188,8,121.0
188,9,103.0
188,10,153.0
188,11,163.0
189,0,93.0
189,2,63.0
189,3,60.0
189,4,55.0
189,5,51.0
189,6,47.0
189,7,43.0
189,8,127.0
189,9,92.0
189,10,161.0
190,0,90.0
190,2,76.0
190,3,108.0
190,4,141.0
190,5,102.0
